country,district,segment,lid,official_value
新北市,新莊區,海山頭段三角子小段,01720050,54781
新北市,新莊區,海山頭段三角子小段,01720051,36500
新北市,新莊區,海山頭段三角子小段,01720052,36500
新北市,新莊區,海山頭段三角子小段,01720053,36500
新北市,新莊區,海山頭段三角子小段,01720054,36500
新北市,新莊區,海山頭段三角子小段,01720055,52862
新北市,新莊區,海山頭段三角子小段,01720056,36983
新北市,新莊區,海山頭段三角子小段,01720057,54781
新北市,新莊區,海山頭段三角子小段,01720058,36500
新北市,新莊區,海山頭段三角子小段,01720059,36500
新北市,新莊區,海山頭段三角子小段,01720060,36500
新北市,新莊區,海山頭段三角子小段,01720061,36500
新北市,新莊區,海山頭段三角子小段,01720062,54781
新北市,新莊區,海山頭段三角子小段,01720063,54781
新北市,新莊區,海山頭段三角子小段,01720064,54781
新北市,新莊區,海山頭段三角子小段,01740000,36500
新北市,新莊區,海山頭段三角子小段,01740001,71212
新北市,新莊區,海山頭段三角子小段,01740005,54781
新北市,新莊區,海山頭段三角子小段,01740006,36500
新北市,新莊區,海山頭段三角子小段,01740007,54781
新北市,新莊區,海山頭段三角子小段,01740008,77900
新北市,新莊區,海山頭段三角子小段,01740009,54781
新北市,新莊區,海山頭段三角子小段,01740010,36500
新北市,新莊區,海山頭段三角子小段,01740011,36500
新北市,新莊區,海山頭段三角子小段,01740012,36500
新北市,新莊區,海山頭段三角子小段,01740013,36500
新北市,新莊區,海山頭段三角子小段,01740014,36500
新北市,新莊區,海山頭段三角子小段,01930004,36500
新北市,新莊區,海山頭段三角子小段,01930007,36500
新北市,新莊區,海山頭段三角子小段,01930008,36500
新北市,新莊區,海山頭段三角子小段,01930009,36500
新北市,新莊區,海山頭段三角子小段,01930010,36500
新北市,新莊區,海山頭段三角子小段,01930011,36500
新北市,新莊區,海山頭段三角子小段,01940000,36500
新北市,新莊區,海山頭段三角子小段,01940001,36500
新北市,新莊區,海山頭段三角子小段,01940004,36500
新北市,新莊區,海山頭段三角子小段,01940007,36500
新北市,新莊區,海山頭段三角子小段,01940008,36500
新北市,新莊區,海山頭段三角子小段,01940015,43100
新北市,新莊區,海山頭段三角子小段,01940017,36500
新北市,新莊區,海山頭段三角子小段,01940018,36500
新北市,新莊區,海山頭段三角子小段,01940019,36500
新北市,新莊區,海山頭段三角子小段,01940020,36500
新北市,新莊區,海山頭段三角子小段,01940021,36500
新北市,新莊區,海山頭段三角子小段,01940022,36500
新北市,新莊區,海山頭段三角子小段,01940024,36500
新北市,新莊區,海山頭段三角子小段,01940025,36500
新北市,新莊區,海山頭段三角子小段,01940026,36500
新北市,新莊區,海山頭段三角子小段,01940027,36500
新北市,新莊區,海山頭段三角子小段,01940028,36500
新北市,新莊區,海山頭段三角子小段,01940029,43100
新北市,新莊區,海山頭段三角子小段,01940030,43100
新北市,新莊區,海山頭段三角子小段,01940031,43100
新北市,新莊區,海山頭段三角子小段,01970002,36500
新北市,新莊區,海山頭段三角子小段,01970003,36500
新北市,新莊區,海山頭段三角子小段,01970004,36500
新北市,新莊區,海山頭段三角子小段,01970005,36500
新北市,新莊區,海山頭段三角子小段,01970006,36500
新北市,新莊區,海山頭段三角子小段,01970008,36500
新北市,新莊區,海山頭段三角子小段,01970013,36500
新北市,新莊區,海山頭段三角子小段,01970014,36500
新北市,新莊區,海山頭段三角子小段,01970015,36500
新北市,新莊區,海山頭段三角子小段,01970016,36500
新北市,新莊區,海山頭段三角子小段,01970017,36500
新北市,新莊區,海山頭段三角子小段,01970018,36500
新北市,新莊區,海山頭段三角子小段,01970019,36500
新北市,新莊區,海山頭段三角子小段,01970020,36500
新北市,新莊區,海山頭段三角子小段,01970021,36500
新北市,新莊區,海山頭段三角子小段,01970022,36500
新北市,新莊區,海山頭段三角子小段,01970023,36500
新北市,新莊區,海山頭段三角子小段,01970024,36500
新北市,新莊區,海山頭段三角子小段,01970025,36500
新北市,新莊區,海山頭段三角子小段,01970026,36500
新北市,新莊區,海山頭段三角子小段,01970027,36500
新北市,新莊區,海山頭段三角子小段,01970028,36500
新北市,新莊區,海山頭段三角子小段,01970029,36500
新北市,新莊區,海山頭段三角子小段,01970030,36500
新北市,新莊區,海山頭段三角子小段,01990000,36500
新北市,新莊區,海山頭段三角子小段,01990009,36500
